Pgroup,Lp,PKod,Pname,p_sale_in_time,Psale,Pavarage_stock,Rotation_in_days,Rotation_in_times
ART._HYGIENIC,,,,,,,,
 ,1.0,9633.0,LUDWIK MLECZKO DO CZYSZCZENIA 300 ML,"0,005347594","2,00","0,00",0,
 ,1.0,9635.0,LUDWIK MLECZKO DO CZYSZCZENIA 300 ML,"0,005347594","2,00","0,00",0,
 ,1.0,11150.0,LUDWIK PLYN UNIWERSALNY 1 L,"0,002673797","1,00","0,00",0,
 ,1.0,11152.0,LUDWIK PLYN UNIWERSALNY 1 L,"0,005347594","2,00","0,00",0,
 ,1.0,10213.0,LUDWIK P?YN DO MYCIA SZYB/GLAZUR CYTRYNA,"0,005347594","2,00","0,00",0,
 ,1.0,10209.0,LUDWIK P?YN DO SZYB I GLAZUR 750ML,"0,005347594","2,00","0,00",0,
 ,1.0,14249.0,LUDWIK UNIWERSALNY 1 L,"0,002673797","1,00","0,00",0,
 ,1.0,8146.0,LUGA KROCHMAL 750ML,"0,00802139","3,00","0,00",0,
 ,1.0,7935.0,LYZKI 12 SZT,"0,002673797","1,00","0,00",0,
 ,1.0,11178.0,MAKARON SULMA PIORA 500 G,"0,002673797","1,00","0,00",0,
 ,1.0,8129.0,MARKER CZARNY 1 SZT,"0,018716578","7,00","0,00",0,
 ,1.0,19249.0,MASZYNKA JEDNORAZOWA WIKINSON,"0,032085561","12,00","0,00",0,
 ,1.0,1618.0,MASZYNKA POLSILVER,"0,299465241","112,00","0,00",0,
 ,1.0,18601.0,MASZYNKA WILKINSON XTREME 3 BEAUTY,"0,061497326","23,00","0,00",0,
 ,1.0,7622.0,MELT DO RUR 750 ML,"0,005347594","2,00","0,00",0,
 ,1.0,15335.0,MISECZKI DO ZUP PLASTIK 12 SZT,"0,002673797","1,00","0,00",0,
 ,1.0,9987.0,MLECZKO CIF DO CZYSZCZENIA 540GR,"0,010695187","4,00","0,00",0,
 ,1.0,6409.0,MOLA PAPIER BIALY 8,"0,040106952","15,00","0,00",0,
 ,1.0,10513.0,MOLA POAPIER ZAPACH 8 MAGNOLIA,"0,013368984","5,00","0,00",0,
 ,1.0,10491.0,MYDLO ARKO 90 G RUMIANEK,"0,016042781","6,00","0,00",0,
 ,1.0,15999.0,MYDLO ARKO EXTRA 90 G,"0,06684492","25,00","0,00",0,
 ,1.0,5922.0,MYDLO ARKO KREMEM ZIELONE 90 GR,"0,024064171","9,00","0,00",0,
 ,1.0,2419.0,MYDLO BAMBINO 90 G,"0,056149733","21,00","0,00",0,
 ,1.0,8033.0,MYDLO DAVE 100G,"0,002673797","1,00","0,00",0,
 ,1.0,4089.0,MYDLO DOVE 100G CREAM BAR,"0,034759358","13,00","0,00",0,
